date,amount,close,high,low,open,volume
20010325,6250860,3690,3690,3690,0,1694
20010326,115821294,3850,3850,3697,3690,30704
20010327,125354929,3903,3930,3850,3850,32147
20010328,9306450,3900,3903,3900,3903,2386
20010331,29899663,3894,3910,3893,3900,7657
20010403,57385944,3900,3900,3894,3894,14721
20010408,21789968,3869,3896,3865,3900,5622
20010409,164652556,3787,3800,3707,3869,43477
20010410,125523389,3677,3750,3650,3787,33896
20010411,220241178,3720,3730,3677,3677,59216
20010414,250419086,3870,3870,3700,3720,66200
20010415,36209820,3870,3871,3870,3870,9355
20010416,162613107,3970,3970,3850,3870,41982
20010417,35467170,4100,4100,3975,3970,8813
20010418,187572566,4300,4300,4121,4100,44574
20010421,234657113,4310,4399,4300,4300,54385
20010422,393859903,4189,4310,4095,4310,93038
20010423,172227785,4190,4200,4189,4189,41105
20010424,351097112,4190,4300,4189,4190,83307
20010425,684779473,4320,4350,4190,4190,161126
20010428,453466493,4350,4400,4303,4320,104784
20010429,117141317,4401,4401,4350,4350,26723
20010430,166260111,4403,4406,4398,4401,37759
20010501,128393546,4500,4501,4404,4403,28538
20010502,215555630,4503,4503,4499,4500,47897
20010505,224492675,4500,4503,4450,4503,49882
20010506,178377487,4501,4501,4420,4500,39712
20010507,95039757,4520,4520,4502,4501,21082
20010508,94534282,4580,4580,4521,4520,20777
20010509,130773194,4620,4620,4500,4580,28449
20010512,57821289,4600,4620,4508,4620,12752
20010513,206369341,4605,4640,4600,4600,44801
20010515,122276967,4655,4655,4605,4605,26416
20010516,361543408,4666,4700,4656,4655,77149
20010519,47224427,4726,4726,4690,4666,10033
20010520,81945775,4844,4844,4750,4726,17190
20010521,70894954,4965,4965,4849,4844,14417
20010523,53632591,5080,5080,4973,4965,10648
20010526,77419560,5207,5207,5080,5080,15060
20010527,83967021,5337,5337,5337,5207,15733
20010528,45901240,5390,5390,5390,5337,8516
20010529,60330212,5443,5443,5443,5390,11084
20010530,72126137,5497,5497,5497,5443,13121
20010602,209317360,5497,5551,5497,5497,37780
20010603,72386457,5443,5443,5443,5497,13299
20010606,323735191,5443,5443,5389,5443,60021
20010609,295582729,5443,5443,5424,5443,54386
20010611,262374192,5497,5497,5390,5443,48212
20010612,117173329,5490,5498,5445,5497,21414
20010613,196453024,5452,5452,5436,5490,36093
20010616,38550657,5400,5451,5400,5452,7117
20010617,254845722,5400,5402,5346,5400,47435
20010618,398272228,5400,5400,5346,5400,74106
20010619,340679759,5400,5400,5350,5400,63271
20010620,246980356,5401,5401,5350,5400,45851
20010623,182661294,5400,5401,5350,5401,33924
20010624,116282814,5400,5400,5349,5400,21665
20010625,178707532,5400,5400,5360,5400,33101
20010626,122993470,5400,5400,5398,5400,22778
20010627,197972097,5400,5402,5396,5400,36672
20010630,170537070,5400,5400,5350,5400,31599
20010701,440893397,5450,5450,5394,5400,81270
20010702,166091693,5450,5450,5397,5450,30529
20010703,78950958,5451,5451,5400,5450,14526
